"","text","word_scores","compound","pos","neu","neg","but_count"
"2494","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 386,420,461,1116,Dose2 Capacity: 61,189,316,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2495","So with the no fault indemnity  for GPS younger Australians can get the AZ vaccine if they choose. The NSW Chair of College of GPS soon on Evenings  ","{0, 0, 0, 0.2637, 1.258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.366,0.119,0.881,0,0
"2496","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 387,420,462,1117,Dose2 Capacity: 61,189,317,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2497","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 390,420,463,1117,Dose2 Capacity: 61,189,318,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2498","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 390,420,463,1120,Dose2 Capacity: 61,189,318,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2499","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 393,420,463,1120,Dose2 Capacity: 61,191,318,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2500","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 395,420,464,1124,Dose2 Capacity: 61,192,318,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2501","Pin Code:[411041] Navale Medical CollegeVaccines: COVISHIELD,Min Age Limit: [18,45],Dose1 Capacity: 397,420,464,1127,Dose2 Capacity: 61,192,318,95,Dates Available: 28-06-2021,29-06-2021#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"2502","Uxbridge College student, shares her experience of taking the  vaccine for COVID. ","{0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0, 0, 0}",0.296,0.167,0.833,0,0
"2503","    Part 2.Or are those people being forgotten about.If somebody wants vaccine. Go get it.But stop making out people who dont want it are spreading it.  On the bus high school children take masks off and college students.Some adults also think should not wear masks. ","{0, 0, 0, 0, 0, 0, 0, -0.9, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, -0.222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.514,0,0.888,0.112,0
